PointNumber          x          y
803             0.007223      0.972626
804             0.012800      0.979859
805             0.036197     -0.748768
806             0.105303     -0.766794
807             0.036197     -0.784379
808             0.036197     -0.855603
809             0.105303     -0.802406
810             0.036197     -0.819991
811             0.070750     -0.793393
812             0.036051      0.044289
813             0.104864      0.029931
814             0.239891      0.232541
815             0.239437      0.286475
816             0.190807      0.365785
817             0.223076      0.330890
818             0.037273      0.256391
819             0.108529      0.270626
820             0.216128      0.223616
821             0.168148      0.259701
822             0.215901      0.250583
823             0.167043      0.356860
824             0.151786      0.304116
825             0.183178      0.339413
826             0.215447      0.304518
827             0.167921      0.286668
828             0.215674      0.277550
829             0.199313      0.321965
830             0.191911      0.268626
831             0.175549      0.313041
832             0.272347      0.489597
833             0.234805      0.485238
834             0.269093      0.501682
835             0.262586      0.525853
836             0.231551      0.497324
837             0.265840      0.513767
838             0.250322      0.499503
839             0.185012      0.408189
840             0.205693      0.458102
841             0.158897      0.538001
842             0.196988      0.501373
843             0.029647      0.450909
844             0.085652      0.458568
845             0.159418      0.403024
846             0.128909      0.442607
847             0.169758      0.427980
848             0.133302      0.532835
849             0.120204      0.485877
850             0.152348      0.514522
851             0.190439      0.477894
852             0.139250      0.467563
853             0.180098      0.452937
854             0.171393      0.496208
855             0.154504      0.447772
856             0.145799      0.491042
857             0.134315     -0.957308
858             0.156234     -0.914687
859             0.153837     -0.952195
860             0.103887     -0.933204
861             0.237933     -0.930170
862             0.190774     -0.905641
863             0.222916     -0.934103
864             0.043032     -0.884995
865             0.125807     -0.890583
866             0.073460     -0.909100
867             0.077585     -0.858397
868             0.114847     -0.911893
869             0.192882     -0.941969
870             0.175757     -0.909574
871             0.173360     -0.947082
872             0.207899     -0.938036
873             0.164797     -0.930885
874             0.199336     -0.921838
875             0.146690     -0.805200
876             0.160359     -0.863984
877             0.112137     -0.831798
878             0.118972     -0.861190
879             0.021038      0.690799
880             0.059824      0.652330
881             0.021038      0.662217
882             0.021038      0.605053
883             0.059824      0.623748
884             0.021038      0.633635
885             0.040431      0.642982
886             0.124693      0.575510
887             0.094376      0.613900
888             0.254493      0.579220
889             0.227295      0.583056
890             0.256996      0.569924
891             0.247914      0.598135
892             0.234756      0.635964
893             0.220716      0.601970
894             0.241335      0.617049
895             0.234315      0.600053
896             0.262002      0.551331
897             0.229798      0.573760
898             0.259499      0.560628
899             0.246484      0.537067
900             0.243397      0.571842
901             0.158313      0.563479
902             0.195235      0.577809
903             0.177358      0.545166
904             0.215449      0.508538
905             0.214280      0.559495
906             0.230967      0.522802
907             0.196404      0.526852
908             0.230382      0.548281
909             0.195819      0.552330
910             0.213008      0.691916
911             0.185218      0.688020
912             0.016068      0.791431
913             0.044915      0.778337
914             0.016068      0.769445
915             0.016068      0.725472
916             0.044915      0.756351
917             0.016068      0.747458
918             0.030491      0.762898
919             0.096380      0.747472
920             0.071685      0.763684
921             0.076033      0.814778
922             0.064903      0.786119
923             0.117870      0.744107
924             0.136154      0.753587
925             0.014489      0.867951
926             0.040178      0.872599
927             0.074454      0.840561
928             0.060166      0.863468
929             0.048413      0.908542
930             0.051486      0.886129
931             0.149377      0.852013
932             0.135631      0.842223
933             0.152166      0.845041
934             0.144264      0.858985
935             0.157744      0.831096
936             0.138420      0.835251
937             0.154955      0.838068
938             0.145293      0.840146
939             0.134038      0.872930
940             0.130518      0.849195
941             0.139151      0.865957
942             0.137391      0.854090
943             0.093388      0.831162
944             0.116968      0.835273
945             0.009074      0.954280
946             0.023933      0.947450
947             0.042998      0.925820
948             0.035241      0.937963
949             0.082235      0.935293
950             0.072364      0.934168
951             0.078517      0.940406
952             0.071080      0.950632
953             0.068645      0.939281
954             0.074798      0.945519
955             0.073581      0.939843
956             0.052014      0.923212
957             0.062290      0.930141
958             0.039442     -0.559114
959             0.115037     -0.593445
960             0.039442     -0.608566
961             0.039442     -0.707468
962             0.115037     -0.642896
963             0.039442     -0.658017
964             0.073995     -0.716482
965             0.077240     -0.625731
966             0.143100     -0.734508
967             0.149590     -0.651910
968             0.108548     -0.725495
969             0.111792     -0.684196
970             0.033970     -0.365072
971             0.098620     -0.406928
972             0.033970     -0.414523
973             0.033970     -0.513426
974             0.098620     -0.456380
975             0.033970     -0.463974
976             0.071767     -0.530591
977             0.066295     -0.435451
978             0.215501     -0.358086
979             0.159130     -0.404600
980             0.147362     -0.564922
981             0.136417     -0.473545
982             0.109565     -0.547757
983             0.104092     -0.502068
984             0.040838     -0.136170
985             0.119226     -0.115833
986             0.242261     -0.102880
987             0.186367     -0.104736
988             0.144058     -0.009353
989             0.153632     -0.073561
990             0.423628     -0.292265
991             0.369892     -0.271887
992             0.268521     -0.316546
993             0.318189     -0.279981
994             0.265212     -0.912597
995             0.272610     -0.852923
996             0.293173     -0.905196
997             0.241632     -0.900333
998             0.349094     -0.890393
999             0.300570     -0.845521
1000             0.321133     -0.897794
1001             0.296871     -0.875359
1002             0.173969     -0.787627
1003             0.242195     -0.811266
1004             0.180803     -0.817019
1005             0.328801     -0.742755
1006             0.293806     -0.796309
